order_id,product_id,quantity,discount_pct
1,64,2,0.0
1,79,5,0.2
1,52,2,0.3
1,77,5,0.0
1,5,1,0.1
2,100,1,0.2
2,21,3,0.15
2,35,5,0.3
2,48,3,0.1
2,38,5,0.0
2,74,5,0.3
3,11,3,0.05
3,18,4,0.0
4,79,4,0.2
4,5,3,0.15
4,87,1,0.2
4,5,4,0.0
4,80,1,0.15
5,19,3,0.15
5,17,1,0.1
5,100,5,0.0
6,7,2,0.15
6,62,1,0.2
6,56,2,0.0
6,63,3,0.0
6,88,4,0.05
7,67,5,0.2
7,1,2,0.0
7,42,4,0.05
7,53,1,0.15
8,71,1,0.1
8,70,4,0.1
8,64,1,0.15
8,5,3,0.0
9,75,3,0.2
9,18,2,0.0
9,56,1,27.0
9,47,3,0.2
10,61,5,0.05
10,35,2,0.0
10,89,5,0.2
11,64,1,0.1
11,11,1,0.0
11,18,2,0.05
11,29,-2,0.05
12,69,1,0.2
12,66,4,0.0
12,71,4,0.0
12,6,1,0.15
13,42,4,0.0
13,88,5,0.15
13,62,4,0.1
13,37,5,0.0
14,15,3,0.2
14,33,1,31.0
15,71,3,0.15
15,88,4,0.3
15,46,5,0.0
15,17,2,0.0
16,66,3,0.0
16,21,5,0.2
16,85,3,0.05
16,10,2,0.0
17,39,3,0.05
17,80,1,0.2
17,72,2,0.15
17,35,2,0.15
18,40,4,0.3
18,54,1,0.15
18,8,4,0.05
18,12,5,0.15
19,17,5,0.05
19,55,1,0.0
19,78,1,0.15
19,45,2,0.15
20,49,3,0.15
20,67,-2,0.0
20,9,1,0.3
21,40,5,0.1
21,69,2,0.05
22,51,4,0.0
22,9,4,0.1
23,77,5,0.0
23,33,0,2.04
23,87,5,0.0
23,4,2,0.2
23,59,2,0.3
24,27,2,0.2
24,60,2,0.15
24,85,3,0.05
25,25,3,0.0
25,76,4,0.2
25,4,5,0.3
25,41,1,0.05
25,9,5,0.0
26,83,2,0.1
27,85,2,0.1
27,79,2,0.15
28,22,2,0.3
28,35,5,0.15
28,100,5,0.15
28,63,4,0.3
29,83,5,0.05
29,10,3,0.05
29,98,3,0.3
29,30,5,0.05
30,28,1,0.05
30,44,2,0.15
