order_id,customer_id,store_id,order_date,status
1,19,5,2023-04-29,canceled
2,359,10,2024-10-04,
3,472,13,2025-07-02,returned
4,401,7,2024-09-09,Shipped
5,65,18,2024-08-04,canceled
6,82,18,2024-06-13,SHIPPED
7,31,9,2025-11-05,complete
8,3,8,2025-12-28,canceled
9,367,5,2025-02-12,CANCELLED
10,399,4,2023-10-28,COMPLETED
11,67,15,2023-06-09,Shipped
12,326,15,2025-09-29,Pending
13,365,17,2025-12-19,Returned
14,287,4,2025-04-16,canceled
15,191,12,2024-09-13,pending
16,25,10,2024-08-03,Returned
17,35,14,2025-09-12,CANCELLED
18,369,5,2023-10-11,returned
19,373,20,2025-04-18,CANCELLED
20,456,9,2023-07-01,canceled
21,287,20,2023-04-19,Returned
22,99674,6,2023-02-08,returned
23,165,2,2025-10-03,SHIPPED
24,271,9,2023-07-06,Pending
25,394,10,2025-04-14,CANCELLED
26,153,11,2023-10-19,Shipped
27,27,20,2024-04-29,Shipped
28,163,14,2023-05-15,cancelled
29,99567,4,2024-05-19,pending
30,43,17,2024-02-21,Pending
31,217,18,2025-07-14,canceled
32,31,16,2024-07-13,Shipped
33,109,17,2024-07-30,COMPLETED
34,63,18,2024-07-26,CANCELLED
35,326,15,2024-07-13,CANCELLED
36,169,5,2023-01-05,
37,285,16,2025-03-15,COMPLETED
38,418,4,2024-12-23,shipped
39,416,1,2023-09-13,returned
40,389,12,2024-01-28,canceled
41,253,2,2024-07-28,PENDING
42,327,9,2025-10-21,Pending
43,34,19,2024-04-11,Cancelled
44,497,18,2024-06-01,completed
45,483,11,2025-06-04,complete
46,186,2,2024-04-04,returned
47,172,19,2023-02-21,SHIPPED
48,101,10,2023-05-09,Returned
49,409,11,2024-05-27,CANCELLED
50,267,3,2025-06-17,complete
51,18,3,2023-09-19,Completed
52,34,2,2023-04-17,complete
53,443,20,2023-01-22,SHIPPED
54,174,1,2025-07-18,complete
55,35,7,2023-09-16,SHIPPED
56,96,2,2023-05-04,shipped
57,398,16,2024-09-24,completed
58,75,17,2023-04-22,PENDING
59,36,16,2025-08-15,CANCELLED
60,84,2,2025-10-12,
61,320,16,2024-11-09,Shipped
62,186,945,2023-03-03,returned
63,392,1,2024-02-12,Cancelled
64,284,7,2023-02-14,complete
65,195,4,2024-11-24,cancelled
66,88,20,2025-06-07,pending
67,98,13,2025-02-05,cancelled
68,301,18,2024-08-25,Completed
69,65,19,2025-09-28,Returned
70,86,17,2025-02-05,CANCELLED
71,248,16,2025-08-28,Completed
72,232,13,2024-03-23,Pending
73,282,3,2024-08-27,Completed
74,219,14,2025-04-17,Cancelled
75,120,3,2025-01-05,COMPLETED
76,51,12,2023-03-20,CANCELLED
77,394,9,2024-01-26,Cancelled
78,422,13,2025-04-10,completed
79,390,13,2024-04-11,Returned
80,283,15,2024-11-28,PENDING
81,214,15,2023-03-03,pending
82,256,12,2024-11-26,Shipped
83,154,1,2023-03-07,CANCELLED
84,468,13,2025-02-19,Shipped
85,292,10,2023-07-10,Pending
86,251,7,2023-05-23,PENDING
87,36,12,2025-11-27,SHIPPED
88,67,16,2023-05-21,PENDING
89,222,16,2023-11-22,PENDING
90,142,5,2025-07-01,cancelled
91,451,15,2023-03-22,returned
92,406,20,2023-12-25,SHIPPED
93,94,4,2025-03-16,Pending
94,150,3,2024-03-20,complete
95,54,11,2025-04-19,Completed
96,356,15,2025-02-19,PENDING
97,99117,5,2024-10-31,returned
98,125,15,2023-10-15,Pending
99,99102,4,2025-12-30,completed
100,184,2,2025-12-26,complete
101,27,2,2025-02-11,shipped
102,9,1,2024-11-21,COMPLETED
103,409,6,2023-12-09,CANCELLED
104,320,18,2025-03-20,PENDING
105,8,11,2023-01-25,COMPLETED
106,320,3,2024-03-23,Returned
107,275,19,2023-12-18,CANCELLED
108,348,5,2024-11-11,CANCELLED
109,35,20,2025-07-08,cancelled
110,7,20,2023-09-12,cancelled
111,192,7,2023-11-07,cancelled
112,485,11,2023-10-02,Completed
113,332,1,2024-04-14,cancelled
114,470,8,2024-03-31,CANCELLED
115,34,3,2024-01-30,PENDING
116,282,7,2024-04-28,returned
117,126,20,2024-05-24,PENDING
118,41,12,2025-03-26,SHIPPED
119,390,16,2023-02-10,COMPLETED
120,305,18,2023-12-26,returned
121,247,5,2025-08-19,completed
122,372,13,2025-05-01,shipped
123,302,2,2023-09-12,PENDING
124,395,12,2025-11-09,shipped
125,475,8,2024-05-11,shipped
126,358,5,2024-06-19,pending
127,488,6,2023-01-26,Shipped
128,462,7,2025-05-16,canceled
129,454,10,2025-04-22,COMPLETED
130,409,5,2024-07-04,Shipped
131,99172,1,2023-07-18,SHIPPED
132,88,6,2023-10-03,complete
133,96,6,2024-01-28,SHIPPED
134,56,6,2023-06-13,Cancelled
135,121,4,2023-01-20,completed
136,22,17,2023-01-15,Cancelled
137,173,11,2025-01-29,CANCELLED
138,341,20,2023-04-28,complete
139,206,5,2023-02-22,Cancelled
140,128,20,2025-08-31,completed
141,417,12,2023-04-04,returned
142,379,3,2024-12-14,Returned
143,464,13,2024-08-24,Completed
144,155,18,2025-08-14,complete
145,125,3,2023-08-05,Pending
146,197,8,2024-06-11,complete
147,325,3,2024-11-12,COMPLETED
148,368,13,2025-06-13,complete
149,175,7,2023-08-26,CANCELLED
150,1,19,2024-01-24,CANCELLED
151,479,17,2024-03-30,
152,418,8,2025-10-20,canceled
153,411,2,2024-10-17,complete
154,294,7,2025-10-10,Completed
155,424,8,2023-04-18,Returned
156,418,6,2023-02-14,Returned
157,201,10,2024-08-01,Shipped
158,406,2,2024-09-14,pending
159,460,7,2024-02-05,
160,348,5,2025-02-10,Pending
161,499,2,2023-08-29,SHIPPED
162,207,4,2024-05-08,Pending
163,355,3,2025-08-07,Cancelled
164,6,3,2023-09-07,cancelled
165,294,4,2024-01-06,SHIPPED
166,167,18,2024-01-14,Shipped
167,416,3,2025-11-28,complete
168,338,6,2024-01-04,CANCELLED
169,106,3,2024-06-09,complete
170,279,1,2024-05-23,canceled
171,296,11,2025-12-06,PENDING
172,23,7,2023-10-18,pending
173,184,20,2025-05-14,Shipped
174,234,9,2025-05-21,PENDING
175,325,7,2025-02-01,Pending
176,404,1,2024-05-21,complete
177,169,12,2024-11-14,cancelled
178,497,4,2023-09-10,canceled
179,49,19,2024-07-31,Completed
180,200,18,2025-04-04,completed
181,337,13,2024-07-01,shipped
182,312,15,2024-01-10,returned
183,220,8,2024-09-17,canceled
184,47,3,2024-05-06,Completed
185,476,1,2025-05-18,pending
186,347,4,2025-04-10,completed
187,384,17,2023-03-28,cancelled
188,69,2,2025-05-15,complete
189,426,4,2024-08-17,PENDING
190,202,10,2025-11-21,returned
191,30,20,2025-07-31,completed
192,206,4,2025-06-01,pending
193,4,9,2024-04-08,shipped
194,416,15,2025-06-18,SHIPPED
195,364,7,2024-08-06,CANCELLED
196,102,9,2023-09-01,pending
197,452,13,2023-09-27,completed
198,7,8,2023-04-17,completed
199,236,14,2024-05-22,Pending
200,443,8,2025-05-28,complete
201,93,19,2023-11-01,Completed
202,75,20,2024-02-13,SHIPPED
203,119,14,2025-09-08,Completed
204,144,14,2024-05-20,Completed
170,109,9,2023-07-26,Returned
206,50,18,2023-09-24,shipped
207,310,9,2024-03-06,complete
208,62,7,2024-01-31,COMPLETED
209,155,7,2025-12-28,PENDING
210,457,18,2024-12-12,complete
211,199,17,2023-02-14,pending
212,32,7,2025-03-25,COMPLETED
213,197,13,2025-03-31,completed
214,357,965,2025-07-21,Cancelled
215,363,4,2023-12-17,canceled
216,453,5,2024-07-07,cancelled
217,60,944,2025-01-25,Cancelled
218,314,2,2023-01-22,Cancelled
219,276,19,2023-08-06,Cancelled
220,283,15,2024-03-27,Shipped
221,372,5,2025-09-08,Pending
222,292,6,2024-07-31,Pending
223,97,3,2025-05-23,Shipped
224,373,1,2023-07-24,completed
225,23,3,2024-07-02,completed
226,99810,11,2023-06-24,returned
227,246,2,2024-07-01,Completed
228,262,14,2099-10-18,cancelled
229,336,13,2023-08-19,cancelled
230,183,11,2023-08-31,COMPLETED
231,92,11,2024-01-07,canceled
232,449,16,2025-01-25,COMPLETED
233,77,5,2024-10-17,Returned
234,219,9,2023-10-24,Pending
235,254,14,2024-11-13,cancelled
236,276,18,2024-04-16,SHIPPED
237,416,3,2024-04-26,completed
238,69,2,2024-12-16,pending
239,437,14,2024-05-11,pending
