store_id,name,region,country,opened_date
1,Highland Vancouver,Central,Canada,2011-05-03
2,Riverside Chicago,Southwest,usa,2008-07-04
3,Uptown Sydney,WA,australia,2011-10-24
4,Downtown London,England,uk,2010-11-07
5,Riverside Vancouver,West,CA,2005-09-19
6,Northpark Seattle,Midwest,us,2010-02-01
7,Marketplace Houston,West,U.S.A.,
8,Sunset Ottawa,East,Canada,2020-06-24
9,Westside Sydney,SA,australia,2022-12-03
10,Highland Berlin,North,Germany,2023-06-23
11,Northpark Adelaide,NSW,Australia,2019-02-17
12,Riverside Philadelphia,Southeast,U.S.A.,2020-11-19
13,Southbridge Berlin,West,DE,2012-07-04
14,Bayfront Leeds,England,U.K.,2022-04-03
15,Midtown Denver,Southeast,U.S.A.,2016-04-30
16,Central Glasgow,England,U.K.,2013-02-02
17,Lakeview Bristol,England,United Kingdom,2022-12-26
18,Bayfront Frankfurt,West,DE,2005-09-01
19,Plaza Berlin,South,Germany,2006-11-26
20,Riverside Calgary,Central,canada,2006-05-19
